net,length_um
cfg_f_MEMS_fcw_x[4],42.42µm
cfg_phase0_offset_x[17],42.42µm
cfg_phase270_offset_y[4],42.42µm
reg_wr_addr\[6\],42.15µm
net610,42.1µm
_0210_,42.05µm
_0381_,42.05µm
_0401_,42.05µm
net276,42.05µm
_0347_,42µm
raw_edge3_y[0],41.91µm
cal_phase0_offset_y[5],41.86µm
raw_edge1_x[8],41.86µm
cfg_f_MEMS_fcw_y[3],41.86µm
net880,41.59µm
net807,41.54µm
_0282_,41.49µm
_0448_,41.44µm
_0646_,41.44µm
net637,41.44µm
net657,41.44µm
cal_phase0_offset_y[18],41.35µm
raw_edge1_x[9],41.35µm
cfg_phase0_offset_x[16],41.35µm
cfg_phase270_offset_x[3],41.35µm
cfg_phase270_offset_y[9],41.35µm
cal_phase0_offset_y[16],41.3µm
cfg_f_MEMS_fcw_y[9],41.3µm
net665,40.98µm
_0660_,40.93µm
net837,40.93µm
net845,40.93µm
