net,length_um
_03178_,172.7µm
i_chip_core.wave_controller_x_inst.phase_acc\[12\],172.53µm
_03211_,172.48µm
_00573_,171.97µm
_02308_,171.51µm
i_chip_core.raw_edge1_x\[15\],171.46µm
net796,171.41µm
net77,170.95µm
i_chip_core.cfg_phase270_offset_x\[9\],170.9µm
net217,170.9µm
_02178_,170.85µm
i_chip_core.spi_regs_inst.spi_addr\[1\],170.85µm
_03021_,170.8µm
net57,170.64µm
i_chip_core.wave_controller_x_inst.phase_acc\[10\],170.59µm
_03851_,170.54µm
_04704_,170.39µm
i_chip_core.cal_timeout_x,170.34µm
i_chip_core.raw_edge2_x\[11\],170.34µm
i_chip_core.latch_error_x,170.29µm
i_chip_core.raw_edge2_x\[9\],169.93µm
clknet_leaf_67_clk_PAD2CORE,169.93µm
net276,169.88µm
_02359_,169.78µm
_02301_,169.22µm
_02991_,169.17µm
_03160_,169.17µm
clknet_leaf_13_clk_PAD2CORE,168.91µm
clknet_leaf_45_clk_PAD2CORE,168.91µm
net715,168.66µm
net226,168.61µm
i_chip_core.wave_controller_y_inst.phase_acc\[8\],168.15µm
i_chip_core.wave_controller_y_inst.phase_acc\[1\],168.1µm
net722,168µm
clknet_leaf_35_clk_PAD2CORE,167.64µm
_01665_,167.54µm
net671,167.54µm
_03209_,167.49µm
i_chip_core.cfg_phase270_offset_y\[19\],167.49µm
i_chip_core.wave_controller_x_inst.phase_acc\[7\],167.46µm
i_chip_core.raw_edge3_x\[14\],167.03µm
net168,167.03µm
_04280_,166.98µm
_02930_,166.93µm
_04135_,166.93µm
_01661_,166.88µm
_02896_,166.88µm
clknet_leaf_52_clk_PAD2CORE,166.67µm
net204,166.42µm
_00757_,166.01µm
i_chip_core.wave_controller_y_inst.phase_acc\[10\],165.96µm
net561,165.96µm
_03977_,165.91µm
net797,165.81µm
clknet_leaf_55_clk_PAD2CORE,165.55µm
net563,165.45µm
_02901_,165.2µm
_04651_,165.2µm
clknet_leaf_44_clk_PAD2CORE,164.99µm
i_chip_core.spi_regs_inst.spi_addr\[3\],164.94µm
i_chip_core.cfg_phase90_offset_y\[2\],164.89µm
_01636_,164.84µm
net296,164.84µm
net25,164.74µm
clknet_leaf_30_clk_PAD2CORE,164.74µm
_02275_,164.69µm
_02710_,164.69µm
net213,164.69µm
_03086_,164.64µm
clknet_leaf_23_clk_PAD2CORE,164.33µm
_00788_,164.23µm
_02394_,164.23µm
net740,164.23µm
_00777_,164.18µm
clknet_leaf_49_clk_PAD2CORE,163.87µm
